tree_id,site,status,health,root_stone,latitude,longitude
201155,Front,Alive,Poor,Yes,40.63000...40.76000,>-73.89000
457960,Front,Alive,Good,No,40.63000...40.76000,<-74.07000
476893,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
666901,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
582205,Front,Stump,Stump,No,40.63000...40.76000,>-73.89000
226955,Front,Alive,Poor,No,>40.76000,-74.07000...-73.89000
269238,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
710025,Front,Stump,Stump,No,40.63000...40.76000,-74.07000...-73.89000
134288,Front,Alive,Good,No,40.63000...40.76000,<-74.07000
286457,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
529223,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
384731,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
220312,Side,Alive,Good,No,<40.63000,<-74.07000
530484,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
160724,Nearby,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
452887,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
665337,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
43240,Side,Alive,Good,Yes,<40.63000,<-74.07000
195136,Front,Alive,Poor,No,40.63000...40.76000,-74.07000...-73.89000
704107,Front,Alive,Good,No,>40.76000,>-73.89000
662697,Front,Stump,Stump,No,40.63000...40.76000,-74.07000...-73.89000
694404,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
544258,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
45910,Nearby,Alive,Good,No,>40.76000,>-73.89000
8722,Nearby,Alive,Poor,No,>40.76000,-74.07000...-73.89000
75522,Side,Alive,Good,Yes,<40.63000,<-74.07000
9939,Nearby,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
281792,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
569270,Nearby,Alive,Good,No,<40.63000,-74.07000...-73.89000
118154,Front,Alive,Good,No,>40.76000,>-73.89000
257187,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
108923,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
131431,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
471028,Nearby,Alive,Good,Yes,<40.63000,-74.07000...-73.89000
179401,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
681776,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
557908,Nearby,Alive,Poor,No,40.63000...40.76000,>-73.89000
635442,Front,Stump,Stump,No,40.63000...40.76000,-74.07000...-73.89000
695667,Nearby,Alive,Good,No,>40.76000,>-73.89000
56274,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
720642,Nearby,Alive,Fair,No,<40.63000,>-73.89000
341889,Nearby,Alive,Poor,No,40.63000...40.76000,>-73.89000
416283,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
721668,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
78753,Side,Alive,Good,No,>40.76000,>-73.89000
366738,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
482572,Nearby,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
36664,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
432493,Front,Alive,Good,No,<40.63000,<-74.07000
406893,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
531946,Nearby,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
262380,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
496747,Nearby,Alive,Poor,No,<40.63000,<-74.07000
56926,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
592798,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
88045,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
611803,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
626798,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
450866,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
118324,Side,Alive,Poor,Yes,40.63000...40.76000,>-73.89000
572055,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
455797,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
121793,Nearby,Alive,Good,No,<40.63000,-74.07000...-73.89000
645266,Side,Alive,Good,No,<40.63000,<-74.07000
282699,Nearby,Alive,Fair,No,40.63000...40.76000,>-73.89000
