site,status,health,root_stone,latitude,longitude,,
Side,Alive,Good,No,40.50573171,-74.25128792,,
Across,Alive,Good,No,40.66193932,-73.74599394,,
Front,Alive,Good,No,40.64151038,-73.95157481,,
Front,Alive,Fair,No,40.73468946,-73.86704653,,
Front,Alive,Good,No,40.61912688,-74.1442113,,
Front,Alive,Poor,No,40.86044489,-73.84002472,,
Front,Alive,Good,Yes,40.74212635,-73.81694102,,
Front,Alive,Good,Yes,40.70050326,-73.90394207,,
Front,Alive,Good,No,40.72831738,-73.87062118,,
Side,Alive,Good,No,40.61746746,-74.10459413,,
Front,Alive,Good,No,40.65996214,-73.97792301,,
Front,Alive,Good,No,40.73774928,-73.99353837,,
Adjacent,Alive,Fair,No,40.73140135,-73.80017092,,
Side,Alive,Good,Yes,40.71747641,-73.8221244,,
Front,Alive,Good,No,40.74226139,-73.9972477,,
Front,Alive,Good,No,40.68377651,-73.74444023,,
Front,Alive,Good,Yes,40.71982587,-73.84508479,,
Front,Alive,Good,No,40.72483511,-73.84093936,,
Front,Alive,Good,Yes,40.66164575,-73.9046006,,
Front,Alive,Good,No,40.88105267,-73.84732105,,
Front,Alive,Good,No,40.67783121,-73.76276363,,
Adjacent,Alive,Fair,No,40.54218131,-74.18978466,,
Side,Alive,Good,No,40.79090265,-73.79818838,,
Side,Alive,Good,No,40.72742186,-73.72252757,,
Front,Alive,Good,No,40.57988201,-74.08659634,,
Front,Alive,Good,Yes,40.57551032,-73.99563223,,
